x,y
0.95,-161.902237
1.89,-160.009949
2.84,-160.173340
3.79,-157.683456
4.74,-164.705780
5.68,-161.479507
6.63,-163.352264
7.58,-161.083679
8.53,-159.998871
9.47,-160.570175
10.42,-161.219147
11.37,-160.316971
12.31,-158.941956
13.26,-158.353912
14.21,-157.614471
15.16,-158.866348
16.10,-159.529297
17.05,-155.758453
18.00,-160.050430
18.95,-158.511978
19.89,-157.391647
20.84,-154.870819
21.79,-155.062958
22.73,-155.896423
23.68,-158.065399
24.63,-153.864365
25.58,-155.162582
26.52,-158.326630
27.47,-156.251709
28.42,-153.602814
29.37,-154.281601
30.31,-155.865509
31.26,-155.277573
